,PRODUCT,PROD_LVL,SPECIALTY,SUB_SPECIALTY,SP_SOURCE,ds,INDICATION,MARKET_FLAG,LEVEL_0_MARKET_FLAG,BIOSIMILAR_MOLECULE,CLASS,METRIC,COMPETITIVE_RX,TOTAL_RX,ALLOCATED_WITHOUT_FDAP_RX,ALLOCATED_WITH_FDAP_RX
35244,Brand4,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class1,NBRX,136.1354,136.1354,,
35255,Brand10,1,NP,OTHERS,PHARMACY,2024-01-19,Indication9,Not Available,Not Available,Not Available,Class1,MOTRX,2.349,2.349,,
35289,Brand2,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Other Market,Not Available,Not Available,Class1,TRX,5008.4043,5008.4043,,
35290,Brand2,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Other Market,Not Available,Not Available,Class1,NBRX,262.4295,262.4295,,
35357,Brand4,2,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,10531.6801,,
35412,Brand5,2,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class3,NBRX,0.0,,,
35467,Brand4,1,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Other Market,Other Market,Not Available,Class1,NBRX,0.0,0.0,,
35477,Brand14,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Oral Market,Oral Market,Not Available,Class2,NBRX,0.0,,,
35478,Brand14,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Oral Market,Oral Market,Not Available,Class2,NBRX,0.0,,,
35520,Brand2,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Other Market,Not Available,Not Available,Class1,TRX,124.8719,,,
35590,Brand4,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Other Market,Other Market,Not Available,Class1,TRX,466.1292,466.1292,,
35610,Brand42,2,NP,OTHERS,PHARMACY,2024-01-19,Indication9,Not Available,Not Available,Not Available,Class5,NBRX,,0.0,,
35636,Brand14,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class2,NBRX,,215.0372,,
35695,Brand7,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class1,MOTRX,1023.206,1023.206,,
35762,Brand5,1,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Other Market,Other Market,Not Available,Class3,MOTRX,0.86,0.86,,
35773,Brand37,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Other Market,Other Market,Not Available,Class3,MOTRX,60.2336,60.2336,,
35835,Brand18,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class1,TRX,9.7393,9.7393,,
35869,Brand6,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class3,MOTRX,65.051,65.051,,65.051
35907,Brand11,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Other Market,Other Market,Not Available,Class1,TRX,100.2465,100.2465,,
35908,Brand11,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Other Market,Other Market,Not Available,Class1,NBRX,7.7781,7.7781,,
35909,Brand11,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Other Market,Other Market,Not Available,Class1,MOTRX,115.2655,115.2655,,
36020,Brand18,2,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class1,MOTRX,14.6327,14.6327,,
36033,Brand20,2,PED,OTHERS,PHARMACY,2024-01-19,Indication7,Not Available,Not Available,Not Available,Class1,NBRX,1.2346,1.2346,,
36212,Brand21,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class1,MOTRX,46.6238,46.6238,,
36234,Brand19,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Other Market,Other Market,Not Available,Class1,MOTRX,4.2461,4.2461,,
36328,Brand12,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication4,IV Market,Not Available,Not Available,Class1,NBRX,0.0,0.0,,
36372,Brand30,1,OTHERS,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class4,MOTRX,,1443.5526,,
36471,Brand24,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Oral Market,Oral Market,Not Available,Class2,NBRX,1.7164,1.7164,,
36557,Brand40,2,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class5,MOTRX,,234.53,,
36584,Brand8,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication4,Not Available,Not Available,Not Available,Class1,NBRX,42.7765,42.7765,,
36588,Brand7,2,NP,OTHERS,PHARMACY,2024-01-19,Indication9,Not Available,Not Available,Not Available,Class1,MOTRX,,119.5463,,
36611,Brand1,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication10,IV Market,IV Market,Not Available,Class1,MOTRX,98.4606,98.4606,,
36617,Brand41,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class5,MOTRX,,4326.9278,,
36681,Brand3,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class2,TRX,200.9324,200.9324,,
36682,Brand3,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class2,MOTRX,243.0086,243.0086,,
36727,Brand11,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Not Available,Not Available,Not Available,Class1,NBRX,4.8951,4.8951,,
36743,Brand4,2,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class1,NBRX,20.5268,20.5268,,
36797,Brand3,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class2,TRX,6.4464,6.4464,,
36857,Brand19,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Other Market,Other Market,Not Available,Class1,NBRX,3.0649,3.0649,,
36861,Brand8,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,3.0504,,
36888,Brand11,2,PED,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
36979,Brand5,2,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class3,TRX,4334.3533,4334.3533,,
36980,Brand15,2,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Other Market,Other Market,Not Available,Class3,TRX,1903.5214,1903.5214,1857.578627,2132.833425
37006,Brand15,2,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Other Market,Other Market,Not Available,Class3,NBRX,133.4408,133.4408,137.0434527,150.1830971
37033,Brand20,2,PED,OTHERS,PHARMACY,2024-01-19,Indication7,Not Available,Not Available,Not Available,Class1,NBRX,2.682,2.682,,
37223,Brand17,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication4,IV Market,Not Available,Not Available,Class1,MOTRX,197.4896,197.4896,,
37225,Brand2,1,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Other Market,Not Available,Not Available,Class1,TRX,362.7124,362.7124,,
37226,Brand2,1,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Other Market,Not Available,Not Available,Class1,MOTRX,415.6439,415.6439,,
37317,Brand4,1,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,19.8602,,
37332,Brand15,2,PED,OTHERS,PHARMACY,2024-01-19,Indication7,Other Market,Other Market,Not Available,Class3,MOTRX,4.0864,4.0864,3.973574813,4.563210161
37408,Brand2,1,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Other Market,Not Available,Not Available,Class1,MOTRX,21.799,21.799,,
37559,Brand5,2,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class3,TRX,2828.0784,2828.0784,,
37560,Brand22,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Other Market,Other Market,Not Available,Class4,NBRX,0.0,0.0,,
37629,Brand22,1,PED,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class4,NBRX,0.0,0.0,,
37790,Brand6,1,NP,OTHERS,PHARMACY,2024-01-19,Indication9,Not Available,Not Available,Not Available,Class3,TRX,3.0919,3.0919,,3.661451276
37832,Brand4,2,NP,OTHERS,PHARMACY,2024-01-19,Indication10,Not Available,Not Available,Not Available,Class1,MOTRX,2.9101,2.9101,,
37838,Brand39,2,NP,OTHERS,PHARMACY,2024-01-19,Indication9,Not Available,Not Available,Not Available,Class1,MOTRX,,21.3406,,
38122,Brand40,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication9,Not Available,Not Available,Not Available,Class5,TRX,,46.0311,,
38244,Brand6,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class3,NBRX,0.0,0.0,,0.0
38265,Brand7,2,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,25.629,,
38266,Brand2,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,15345.6243,,
38267,Brand2,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,816.5882,,
38359,Brand26,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class1,TRX,0.6161,0.6161,,
38395,Brand15,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Other Market,Other Market,Not Available,Class3,NBRX,2.7842,2.7842,3.353364113,3.420459404
38472,Brand15,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Other Market,Other Market,Not Available,Class3,NBRX,0.0,0.0,0.0,0.0
38502,Brand41,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class5,TRX,,328.1514,,
38512,Brand22,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class4,NBRX,26.5257,26.5257,,
38535,Brand30,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Other Market,Other Market,Not Available,Class4,MOTRX,11132.7122,11132.7122,,
38551,Brand24,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Oral Market,Oral Market,Not Available,Class2,TRX,4.1774,4.1774,,
38722,Brand1,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication4,IV Market,IV Market,Not Available,Class1,NBRX,12.3076,12.3076,,
38750,Brand39,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Not Available,Not Available,Not Available,Class1,MOTRX,,1.5452,,
38774,Brand5,1,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Other Market,Other Market,Not Available,Class3,TRX,268.8752,268.8752,,
38801,Brand31,2,NP,OTHERS,PHARMACY,2024-01-19,Indication8,Not Available,Not Available,Not Available,Class4,TRX,2.6221,2.6221,,
38831,Brand2,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Other Market,Not Available,Not Available,Class1,MOTRX,3538.8367,3538.8367,,
38882,Brand10,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,24.2859,,
39001,Brand2,1,PED,OTHERS,PHARMACY,2024-01-19,Indication7,Other Market,Not Available,Not Available,Class1,TRX,1.6074,1.6074,,
39098,Brand2,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,188.0368,,
39111,Brand4,2,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,1881.9398,,
39125,Brand5,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Other Market,Other Market,Not Available,Class3,MOTRX,1791.9359,1791.9359,,
39163,Brand29,1,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class4,NBRX,,359.9669,,
39164,Brand14,1,NP,OTHERS,PHARMACY,2024-01-19,Indication9,Not Available,Not Available,Not Available,Class2,NBRX,,1.1426,,
39169,Brand7,2,NP,OTHERS,PHARMACY,2024-01-19,Indication8,Not Available,Not Available,Not Available,Class1,TRX,,10.5555,,
39180,Brand20,2,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,13.3537,,
39198,Brand36,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class2,TRX,,1.3568,,
39282,Brand11,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication10,Not Available,Not Available,Not Available,Class1,MOTRX,88.8813,88.8813,,
39393,Brand5,2,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class3,TRX,,2.1781,,
39440,Brand41,1,NP,OTHERS,PHARMACY,2024-01-19,Indication9,Not Available,Not Available,Not Available,Class5,NBRX,,0.0,,
39452,Brand20,2,PED,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,12.0465,,
39500,Brand24,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Oral Market,Oral Market,Not Available,Class2,TRX,543.4453,543.4453,,
39547,Brand29,1,PED,OTHERS,PHARMACY,2024-01-19,Indication7,Not Available,Not Available,Not Available,Class4,MOTRX,,67.854,,
39567,Brand40,2,OTHERS,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class5,NBRX,,0.0,,
39604,Brand42,2,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class5,MOTRX,,121.6408,,
39845,Brand24,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class2,TRX,,250.5425,,
40015,Brand4,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,2051.2453,,
40025,Brand2,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
40075,Brand7,2,NP,OTHERS,PHARMACY,2024-01-19,Indication8,Not Available,Not Available,Not Available,Class1,TRX,,21.2191,,
40080,Brand17,2,PED,OTHERS,PHARMACY,2024-01-19,Indication7,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
40163,Brand11,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,4.0202,,
40185,Brand3,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Not Available,Not Available,Not Available,Class2,MOTRX,94.5274,94.5274,,
40265,Brand33,2,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,0.6667,,
40298,Brand10,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
40301,Brand29,1,PED,OTHERS,PHARMACY,2024-01-19,Indication7,Not Available,Not Available,Not Available,Class4,TRX,,5.6705,,
40356,Brand3,1,NP,OTHERS,PHARMACY,2024-01-19,Indication9,Not Available,Not Available,Not Available,Class2,MOTRX,,11.6166,,
40421,Brand21,1,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,91.9153,,
40435,Brand11,1,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,147.8508,,
40485,Brand21,1,NP,OTHERS,PHARMACY,2024-01-19,Indication9,Not Available,Not Available,Not Available,Class1,TRX,,0.9379,,
40488,Brand14,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class2,TRX,,97.733,,
40525,Brand11,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class1,MOTRX,534.9755,534.9755,,
40574,Brand41,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class5,MOTRX,,1.0097,,
40597,Brand30,2,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class4,MOTRX,,99.9879,,
40600,Brand38,2,PED,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class3,MOTRX,,41.5374,,
40657,Brand3,2,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class2,TRX,,2546.6554,,
40658,Brand30,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Other Market,Other Market,Not Available,Class4,MOTRX,1073.5946,1073.5946,,
40734,Brand11,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,4240.9045,,
40758,Brand29,1,OTHERS,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class4,MOTRX,,4472.2775,,
40909,Brand38,2,PED,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class3,TRX,,40.3027,,
40927,Brand7,2,PED,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,22.256,,
40940,Brand39,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class1,TRX,,155.7371,,
40951,Brand18,2,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,5.5367,,
41005,Brand5,2,NP,OTHERS,PHARMACY,2024-01-19,Indication8,Not Available,Not Available,Not Available,Class3,MOTRX,,2.7792,,
41037,Brand14,2,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class2,TRX,,872.7136,,
41038,Brand14,2,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class2,NBRX,,41.7147,,
41044,Brand4,1,NP,OTHERS,PHARMACY,2024-01-19,Indication8,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
41125,Brand41,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class5,NBRX,,5.2068,,
41423,Brand6,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class3,MOTRX,12.9566,12.9566,,14.46836569
41507,Brand12,2,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
41572,Brand11,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Other Market,Other Market,Not Available,Class1,TRX,9.4038,9.4038,,
41573,Brand11,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Other Market,Other Market,Not Available,Class1,NBRX,1.4227,1.4227,,
41705,Brand41,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class5,NBRX,,0.0,,
41752,Brand2,1,NP,OTHERS,PHARMACY,2024-01-19,Indication9,Not Available,Not Available,Not Available,Class1,MOTRX,,120.6919,,
41891,Brand3,2,NP,OTHERS,PHARMACY,2024-01-19,Indication10,Not Available,Not Available,Not Available,Class2,NBRX,1.6052,1.6052,,
41931,Brand24,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Not Available,Not Available,Not Available,Class2,NBRX,,0.0,,
41979,Brand21,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,13.6378,,
42132,Brand30,2,PED,OTHERS,PHARMACY,2024-01-19,Indication7,Not Available,Not Available,Not Available,Class4,NBRX,,0.0,,
42168,Brand22,1,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class4,TRX,,21.1662,,
42169,Brand22,1,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class4,NBRX,,4.7097,,
42200,Brand33,2,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,3.2446,,
42244,Brand4,1,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,8.1139,,
42259,Brand24,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class2,MOTRX,611.6995,611.6995,,
42273,Brand30,1,NP,OTHERS,PHARMACY,2024-01-19,Indication8,Not Available,Not Available,Not Available,Class4,TRX,,1.0425,,
42274,Brand30,1,NP,OTHERS,PHARMACY,2024-01-19,Indication8,Not Available,Not Available,Not Available,Class4,NBRX,,1.0425,,
42295,Brand31,2,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class4,NBRX,,1.7112,,
42325,Brand13,2,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,19.9316,,
42341,Brand11,2,PED,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,23.9582,,
42373,Brand5,2,PED,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class3,NBRX,,20.0011,,
42419,Brand34,2,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,2.1183,,
42439,Brand38,1,PED,OTHERS,PHARMACY,2024-01-19,Indication7,Not Available,Not Available,Not Available,Class3,TRX,,6.5264,,
42533,Brand14,2,NP,OTHERS,PHARMACY,2024-01-19,Indication9,Not Available,Not Available,Not Available,Class2,MOTRX,,47.8251,,
42802,Brand12,2,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class1,TRX,1.3571,1.3571,,
42803,Brand12,2,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Not Available,Not Available,Not Available,Class1,NBRX,0.0,0.0,,
42835,Brand12,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,1099.4536,,
42853,Brand3,2,NP,OTHERS,PHARMACY,2024-01-19,Indication9,Not Available,Not Available,Not Available,Class2,NBRX,,2.865,,
42896,Brand20,2,PED,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,1.2346,,
42992,Brand9,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,IV Market,Not Available,Not Available,Class1,MOTRX,41.4135,41.4135,,
43006,Brand23,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,IV Market,IV Market,Not Available,Class1,TRX,15.6705,15.6705,,
43037,Brand38,2,PED,OTHERS,PHARMACY,2024-01-19,Indication7,Not Available,Not Available,Not Available,Class3,NBRX,,3.1219,,
43150,Brand30,2,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class4,NBRX,,1.0361,,
43205,Brand22,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class4,NBRX,0.0,0.0,,
43234,Brand13,2,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,6.7178,,
43254,Brand39,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Not Available,Not Available,Not Available,Class1,MOTRX,,6.2988,,
43385,Brand31,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class4,MOTRX,101.8142,101.8142,,
43400,Brand16,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication6,IV Market,Not Available,Not Available,Class1,MOTRX,416.1824,416.1824,,
43536,Brand14,2,NP,OTHERS,PHARMACY,2024-01-19,Indication8,Not Available,Not Available,Not Available,Class2,NBRX,,0.0,,
43597,Brand12,2,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,1.7667,,
43599,Brand31,2,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class4,NBRX,,9.4155,,
43659,Brand14,1,NP,OTHERS,PHARMACY,2024-01-19,Indication8,Not Available,Not Available,Not Available,Class2,TRX,,1.468,,
43687,Brand41,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class5,NBRX,,0.0,,
43823,Brand24,1,NP,OTHERS,PHARMACY,2024-01-19,Indication9,Not Available,Not Available,Not Available,Class2,TRX,,3.0036,,
43903,Brand13,2,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,2.6872,,
43951,Brand3,2,NP,OTHERS,PHARMACY,2024-01-19,Indication10,Not Available,Not Available,Not Available,Class2,TRX,24.4486,24.4486,,
43952,Brand3,2,NP,OTHERS,PHARMACY,2024-01-19,Indication10,Not Available,Not Available,Not Available,Class2,NBRX,5.3913,5.3913,,
43981,Brand8,1,PED,OTHERS,PHARMACY,2024-01-19,Indication7,Not Available,Not Available,Not Available,Class1,TRX,,14.0186,,
44058,Brand1,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,73.8455,,
44077,Brand5,2,PED,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class3,TRX,,1.183,,
44095,Brand4,1,NP,OTHERS,PHARMACY,2024-01-19,Indication10,Other Market,Other Market,Not Available,Class1,NBRX,2.9771,2.9771,,
44152,Brand19,2,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,10.7055,,
44191,Brand27,2,OTHERS,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,TRX,,0.0,,
44225,Brand31,2,NP,OTHERS,PHARMACY,2024-01-19,Indication10,Not Available,Not Available,Not Available,Class4,NBRX,,0.0,,
44228,Brand27,2,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,0.0,,
44329,Brand11,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class1,MOTRX,4.0098,4.0098,,
44352,Brand19,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Other Market,Other Market,Not Available,Class1,TRX,1.9275,1.9275,,
44553,Brand17,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,IV Market,Not Available,Not Available,Class1,MOTRX,5.656,5.656,,
44584,Brand26,2,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,11.4652,,
44602,Brand14,2,NP,OTHERS,PHARMACY,2024-01-19,Indication8,Not Available,Not Available,Not Available,Class2,MOTRX,,1.7395,,
44655,Brand27,2,PED,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,MOTRX,,1.3862,,
44666,Brand11,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class1,NBRX,12.6973,12.6973,,
44667,Brand40,2,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class5,NBRX,,0.0,,
44668,Brand23,2,NP,OTHERS,PHARMACY,2024-01-19,Indication11,Not Available,Not Available,Not Available,Class1,NBRX,,1.8406,,
44688,Brand42,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class5,MOTRX,,1.2989,,
