,PRODUCT,PROD_LVL,SPECIALTY,SUB_SPECIALTY,SP_SOURCE,ds,INDICATION,MARKET_FLAG,LEVEL_0_MARKET_FLAG,BIOSIMILAR_MOLECULE,CLASS,METRIC,COMPETITIVE_RX,TOTAL_RX,ALLOCATED_WITHOUT_FDAP_RX,ALLOCATED_WITH_FDAP_RX
183810,Brand29,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Other Market,Other Market,Not Available,Class4,NBRX,5.022,5.022,,
183880,Brand10,1,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Not Available,Not Available,Not Available,Class1,MOTRX,40.8654,40.8654,,
183943,Brand14,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Oral Market,Oral Market,Not Available,Class2,NBRX,28.8233,28.8233,,
184016,Brand10,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class1,MOTRX,44.3546,44.3546,,
184044,Brand4,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Other Market,Other Market,Not Available,Class1,MOTRX,154.8072,154.8072,,
184178,Brand11,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class1,NBRX,1.4227,,,
184241,Brand21,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class1,NBRX,11.8203,11.8203,,
184344,Brand14,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class2,TRX,105.9768,,,
184406,Brand32,2,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication1,IV Market,IV Market,Not Available,Class3,NBRX,0.0,,,0.0
184419,Brand27,2,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Not Available,Not Available,Not Available,Class1,NBRX,0.5716,,,
184447,Brand8,1,NP,OTHERS,PHARMACY,2024-01-19,Indication1,Not Available,Not Available,Not Available,Class1,TRX,1.2093,,,
184661,Brand24,1,NP,OTHERS,PHARMACY,2024-01-19,Indication2,Oral Market,Oral Market,Not Available,Class2,TRX,543.4453,,,
184706,Brand6,1,PED,OTHERS,PHARMACY,2024-01-19,Indication7,Not Available,Not Available,Not Available,Class3,MOTRX,4.0864,4.0864,,4.563197871
184713,Brand21,1,NP,OTHERS,MEDICAL BENEFIT,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class1,TRX,600.0626,600.0626,,
184788,Brand15,2,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Other Market,Other Market,Not Available,Class3,NBRX,0.0,0.0,0.0,0.0
184789,Brand38,1,PED,OTHERS,PHARMACY,2024-01-19,Indication5,Other Market,Other Market,Not Available,Class3,MOTRX,97.7468,97.7468,,
184806,Brand22,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Other Market,Other Market,Not Available,Class4,TRX,38.2207,38.2207,,
184838,Brand6,1,NP,OTHERS,PHARMACY,2024-01-19,Indication6,Not Available,Not Available,Not Available,Class3,TRX,144.223,144.223,,170.7899633
184875,Brand5,2,NP,OTHERS,PHARMACY,2024-01-19,Indication4,Not Available,Not Available,Not Available,Class3,MOTRX,302.2707,302.2707,,
